we01_id_wezla,we02_tytul_do_wezla,we03_id_podmiotu_obcego,we04_terc,we05_simc,we06_ulic,we07_nr_porzadkowy,we08_szerokosc,we09_dlugosc,we10_medium_transmisyjne,we11_bsa,we12_technologia_dostepowa,we13_uslugi_transmisji_danych,we14_mozliwosc_zwiekszenia_liczby_interfejsow,we15_finansowanie_publ,we16_numery_projektow_publ,we17_infrastruktura_o_duzym_znaczeniu,we18_typ_interfejsu,we19_udostepnianie_ethernet
W107,Węzeł własny,,2205085,0177477,05441,29A,54.4195,18.3767,radiowe,Nie,WiFi - 802.11ac w paśmie 5GHz,,Nie,Nie,,Nie,,
W108,Węzeł własny,,2215092,0175461,20998,14,54.4395,18.3496,radiowe,Nie,WiFi - 802.11ac w paśmie 5GHz,,Nie,Nie,,Nie,,
W109,Węzeł własny,,2205085,0177112,18049,179,54.3924,18.3829,radiowe,Nie,WiFi - 802.11ac w paśmie 5GHz,,Nie,Nie,,Nie,,
W110,Węzeł własny,,2205085,0177477,14834,3,54.4293,18.3887,radiowe,Nie,WiFi - 802.11ac w paśmie 5GHz,,Nie,Nie,,Nie,,
W111,Węzeł własny,,2205032,0169868,24870,23,54.4167,18.3577,radiowe,Nie,WiFi - 802.11ac w paśmie 5GHz,,Nie,Nie,,Nie,,
W112,Węzeł własny,,2205085,0177112,13706,4,54.3931,18.3937,radiowe,Nie,WiFi - 802.11ac w paśmie 5GHz,,Nie,Nie,,Nie,,
W113,Węzeł własny,,2205032,0169489,16742,9,54.4198,18.3190,radiowe,Nie,WiFi - 802.11ac w paśmie 5GHz,,Nie,Nie,,Nie,,
W114,Węzeł własny,,2261011,0933016,07427,77,54.4245,18.4754,radiowe,Nie,WiFi - 802.11ac w paśmie 5GHz,,Nie,Nie,,Nie,,
W115,Węzeł własny,,2205032,0169845,17798,48,54.3994,18.3317,radiowe,Nie,WiFi - 802.11ac w paśmie 5GHz,,Nie,Nie,,Nie,,
W116,Węzeł własny,,2261011,0933016,10045,12,54.4407,18.4603,radiowe,Nie,WiFi - 802.11ac w paśmie 5GHz,,Nie,Nie,,Nie,,
W117,Węzeł własny,,2261011,0933016,29213,23,54.4219,18.4686,radiowe,Nie,WiFi - 802.11ac w paśmie 5GHz,,Nie,Nie,,Nie,,
W118,Węzeł własny,,2215092,0175290,07290,3,54.4525,18.3288,radiowe,Nie,WiFi - 802.11ac w paśmie 5GHz,,Nie,Nie,,Nie,,
W119,Węzeł własny,,2204052,0170104,10898,16,54.2309,18.3812,radiowe,Nie,WiFi - 802.11ac w paśmie 5GHz,,Nie,Nie,,Nie,,
W120,Węzeł własny,,2204052,0169992,18403,24,54.2499,18.3413,radiowe,Nie,WiFi - 802.11ac w paśmie 5GHz,,Nie,Nie,,Nie,,
W121,Węzeł własny,,2204052,0169928,11139,9,54.2468,18.3810,radiowe,Nie,WiFi - 802.11ac w paśmie 5GHz,,Nie,Nie,,Nie,,
W122,Węzeł własny,,2204052,0170110,08194,2A,54.2137,18.3352,radiowe,Nie,WiFi - 802.11ac w paśmie 5GHz,,Nie,Nie,,Nie,,
W123,Węzeł własny,,2204052,0169963,13809,4,54.2451,18.3577,radiowe,Nie,WiFi - 802.11ac w paśmie 5GHz,,Nie,Nie,,Nie,,
W124,Węzeł własny,,2215092,0175290,21038,5,54.4667,18.3164,radiowe,Nie,WiFi - 802.11ac w paśmie 5GHz,,Nie,Nie,,Nie,,
W125,Węzeł własny,,2205085,0177170,17011,11A,54.4493,18.4216,radiowe,Nie,WiFi - 802.11ac w paśmie 5GHz,,Nie,Nie,,Nie,,
W126,Węzeł własny,,2215092,0175202,15773,4,54.4412,18.3923,radiowe,Nie,WiFi - 802.11ac w paśmie 5GHz,,Nie,Nie,,Nie,,
W127,Węzeł własny,,2205025,0163311,,14,54.3884,18.1084,radiowe,Nie,WiFi - 802.11ac w paśmie 5GHz,,Nie,Nie,,Nie,,
W128,Węzeł własny,,2205025,0163707,,122,54.4210,18.0798,radiowe,Nie,WiFi - 802.11ac w paśmie 5GHz,,Nie,Nie,,Nie,,
W129,Węzeł własny,,2205025,0163624,,38,54.3840,18.0969,radiowe,Nie,WiFi - 802.11ac w paśmie 5GHz,,Nie,Nie,,Nie,,
W130,Węzeł własny,,2205025,0163707,,30D,54.3928,18.0756,radiowe,Nie,WiFi - 802.11ac w paśmie 5GHz,,Nie,Nie,,Nie,,
W131,Węzeł własny,,2205025,0163417,16742,5,54.4026,18.0146,radiowe,Nie,WiFi - 802.11ac w paśmie 5GHz,,Nie,Nie,,Nie,,
W132,Węzeł własny,,2205025,0163417,34537,4,54.3923,18.0290,radiowe,Nie,WiFi - 802.11ac w paśmie 5GHz,,Nie,Nie,,Nie,,
W133,Węzeł własny,,2205025,0162949,,38A,54.3848,17.9970,radiowe,Nie,WiFi - 802.11ac w paśmie 5GHz,,Nie,Nie,,Nie,,
W134,Węzeł własny,,2205025,0163417,01842,4,54.3899,18.0278,radiowe,Nie,WiFi - 802.11ac w paśmie 5GHz,,Nie,Nie,,Nie,,
W135,Węzeł własny,,2205025,0163802,,1B,54.4213,18.0486,radiowe,Nie,WiFi - 802.11ac w paśmie 5GHz,,Nie,Nie,,Nie,,
W136,Węzeł własny,,2205042,0170877,,22,54.3735,17.9768,radiowe,Nie,WiFi - 802.11ac w paśmie 5GHz,,Nie,Nie,,Nie,,
W137,Węzeł własny,,2215062,0165534,,55,54.4249,18.0175,radiowe,Nie,WiFi - 802.11ac w paśmie 5GHz,,Nie,Nie,,Nie,,
W138,Węzeł własny,,2205025,0163156,,19,54.4177,18.0940,radiowe,Nie,WiFi - 802.11ac w paśmie 5GHz,,Nie,Nie,,Nie,,
W139,Węzeł własny,,2215092,0175395,08124,2,54.4612,18.1407,radiowe,Nie,WiFi - 802.11ac w paśmie 5GHz,,Nie,Nie,,Nie,,
