pe01_id_pe,pe02_typ_pe,pe03_id_wezla,pe04_pdu,pe05_terc,pe06_simc,pe07_ulic,pe08_nr_porzadkowy,pe09_szerokosc,pe10_dlugosc,pe11_medium_transmisyjne,pe12_technologia_dostepowa,pe13_mozliwosc_swiadczenia_uslug,pe14_finansowanie_publ,pe15_numery_projektow_publ
PE_1_W131,04,W131,Tak,2205025,0163417,16742,5,54.4026,18.0146,radiowe,WiFi - 802.11ac w paśmie 5GHz,09,Nie,
PE_1_W132,04,W132,Tak,2205025,0163417,34537,4,54.3923,18.0290,radiowe,WiFi - 802.11ac w paśmie 5GHz,09,Nie,
PE_1_W133,04,W133,Tak,2205025,0162949,,38A,54.3848,17.9970,radiowe,WiFi - 802.11ac w paśmie 5GHz,09,Nie,
PE_1_W134,04,W134,Tak,2205025,0163417,01842,4,54.3899,18.0278,radiowe,WiFi - 802.11ac w paśmie 5GHz,09,Nie,
PE_1_W135,04,W135,Tak,2205025,0163802,,1B,54.4213,18.0486,radiowe,WiFi - 802.11ac w paśmie 5GHz,09,Nie,
PE_1_W136,04,W136,Tak,2205042,0170877,,22,54.3735,17.9768,radiowe,WiFi - 802.11ac w paśmie 5GHz,09,Nie,
PE_1_W137,04,W137,Tak,2215062,0165534,,55,54.4249,18.0175,radiowe,WiFi - 802.11ac w paśmie 5GHz,09,Nie,
PE_1_W138,04,W138,Tak,2205025,0163156,,19,54.4177,18.0940,radiowe,WiFi - 802.11ac w paśmie 5GHz,09,Nie,
PE_1_W139,04,W139,Tak,2215092,0175395,08124,2,54.4612,18.1407,radiowe,WiFi - 802.11ac w paśmie 5GHz,09,Nie,
PE_1_W140,04,W140,Tak,2205012,0160005,,48,54.3583,18.0896,radiowe,WiFi - 802.11ac w paśmie 5GHz,09,Nie,
PE_1_W141,04,W141,Tak,2205025,0163529,19142,34,54.3558,18.1799,radiowe,WiFi - 802.11ac w paśmie 5GHz,09,Nie,
PE_1_W142,04,W142,Tak,2205085,0177371,31918,39,54.3755,18.3955,radiowe,WiFi - 802.11ac w paśmie 5GHz,09,Nie,
PE_1_W143,04,W143,Tak,2205025,0163268,38369,3,54.2895,18.2411,radiowe,WiFi - 802.11ac w paśmie 5GHz,09,Nie,
PE_1_W144,04,W144,Tak,2205025,0163268,04805,1,54.2969,18.2196,radiowe,WiFi - 802.11ac w paśmie 5GHz,09,Nie,
PE_1_W145,04,W145,Tak,2205085,0177371,29356,2,54.3753,18.3970,radiowe,WiFi - 802.11ac w paśmie 5GHz,09,Nie,
PE_1_W146,04,W146,Tak,2205085,0177402,11522,44,54.3033,18.4100,radiowe,WiFi - 802.11ac w paśmie 5GHz,09,Nie,
PE_1_W147,04,W147,Tak,2205085,0177260,00518,6,54.2869,18.4273,radiowe,WiFi - 802.11ac w paśmie 5GHz,09,Nie,
PE_1_W148,04,W148,Tak,2205085,0177170,22508,6,54.4312,18.4353,radiowe,WiFi - 802.11ac w paśmie 5GHz,09,Nie,
PE_1_W149,04,W149,Tak,2215092,0175461,03811,6,54.4413,18.3499,radiowe,WiFi - 802.11ac w paśmie 5GHz,09,Nie,
PE_1_W150,04,W150,Tak,2205085,0177454,15953,73,54.3054,18.3400,radiowe,WiFi - 802.11ac w paśmie 5GHz,09,Nie,
PE_1_W151,04,W151,Tak,2205084,0935127,33503,24,54.3444,18.3490,radiowe,WiFi - 802.11ac w paśmie 5GHz,09,Nie,
PE_1_W152,04,W152,Tak,2205085,0177402,,,54.3160,18.3802,radiowe,WiFi - 802.11ac w paśmie 5GHz,09,Nie,
PE_1_W153,04,W153,Tak,2205085,0177371,24048,3,54.3684,18.3751,radiowe,WiFi - 802.11ac w paśmie 5GHz,09,Nie,
PE_1_W154,04,W154,Tak,2205085,0177170,33800,65B,54.4177,18.4371,radiowe,WiFi - 802.11ac w paśmie 5GHz,09,Nie,
PE_1_W155,04,W155,Tak,2206042,0164500,25449,1,54.1175,17.8656,radiowe,WiFi - 802.11ac w paśmie 5GHz,09,Nie,
